Year	Month	Monthly_MSL
1990	11	6.982
1990	12	6.988
1991	1	6.998
1991	2	6.899
1991	3	6.975
1991	4	7.013
1991	5	6.928
1991	6	7.062
1991	7	6.994
1991	8	7.013
1991	9	7.043
1991	10	6.968
1991	11	7.055
1991	12	6.984
1992	1	6.959
1992	2	7.07
1992	3	7.039
1992	4	7.053
1992	5	7.012
1992	6	6.999
1992	7	7.053
1992	8	7.114
1992	9	7.025
1992	10	6.932
1992	11	7.078
1992	12	6.996
1993	1	7.175
1993	2	6.937
1993	3	6.981
1993	4	7.008
1993	5	6.982
1993	6	7.005
1993	7	7.015
1993	8	7.034
1993	9	7.034
1993	10	7.034
1993	11	7.034
1993	12	7.034
1994	1	7.034
1994	2	7.034
1994	3	7.126
1994	4	7.002
1994	5	7.04
1994	6	7.086
1994	7	6.999
1994	8	7.028
1994	9	7.033
1994	10	7.02
1994	11	7.06
1994	12	7.129
1995	1	7.051
1995	2	7.191
1995	3	7.091
1995	4	6.977
1995	5	7.038
1995	6	6.966
1995	7	7.027
1995	8	6.95
1995	9	7.018
1995	10	7.107
1995	11	6.998
1995	12	6.92
1996	1	7.015
1996	2	6.947
1996	3	6.9
1996	4	7.03
1996	5	7.045
1996	6	7.035
1996	7	7.022
1996	8	6.981
1996	9	6.97
1996	10	7.048
1996	11	7.015
1996	12	6.935
1997	1	6.957
1997	2	7.186
1997	3	7.067
1997	4	7.007
1997	5	7.041
1997	6	7.048
1997	7	6.959
1997	8	6.998
1997	9	7.038
1997	10	7.035
1997	11	7.037
1997	12	7.033
1998	1	7.08
1998	2	7.171
1998	3	7.01
1998	4	7.089
1998	5	7.006
1998	6	7.054
1998	7	7.102
1998	8	7.045
1998	9	7.039
1998	10	7.071
1998	11	6.983
1998	12	7.037
1999	1	7.087
1999	2	7.066
1999	3	7.049
1999	4	7.031
1999	5	7.049
1999	6	7.029
1999	7	7.015
1999	8	7.025
1999	9	7.13
1999	10	7.05
1999	11	7.036
1999	12	7.091
2000	1	7.007
2000	2	7.134
2000	3	7.014
2000	4	7.041
2000	5	7.046
2000	6	7.036
2000	7	7.003
2000	8	7.006
2000	9	7.045
2000	10	7.094
2000	11	7.064
2000	12	7.143
2001	1	7.07
2001	2	6.981
2001	3	7.12
2001	4	7.043
2001	5	7.013
2001	6	7.029
2001	7	7.043
2001	8	7.077
2001	9	7.047
2001	10	7.205
2001	11	7.023
2001	12	6.947
2002	1	7.161
2002	2	7.237
2002	3	7.081
2002	4	7.086
2002	5	7.102
2002	6	7.109
2002	7	7.042
2002	8	7.038
2002	9	7.025
2002	10	7.037
2002	11	7.081
2002	12	7.041
2003	1	7.11
2003	2	6.997
2003	3	7.073
2003	4	7.068
2003	5	7.136
2003	6	7.158
2003	7	7.114
2003	8	7.069
2003	9	7.076
2003	10	7.027
2003	11	7.087
2003	12	7.021
2004	1	7.101
2004	2	7.035
2004	3	7.053
2004	4	7.056
2004	5	7.062
2004	6	7.101
2004	7	7.077
2004	8	7.078
2004	9	7.117
2004	10	7.083
2004	11	7.011
2004	12	7.078
2005	1	7.095
2005	2	6.907
2005	3	7.007
2005	4	7.071
2005	5	7.068
2005	6	7.065
2005	7	7.077
2005	8	7.096
2005	9	7.106
2005	10	7.082
2005	11	7.083
2005	12	7.006
2006	1	6.984
2006	2	7.018
2006	3	7.043
2006	4	7.133
2006	5	7.095
2006	6	7.017
2006	7	7.062
2006	8	7.08
2006	9	7.158
2006	10	7.155
2006	11	7.237
2006	12	7.132
2007	1	7.064
2007	2	7.227
2007	3	7.114
2007	4	7.019
2007	5	7.149
2007	6	7.097
2007	7	7.044
2007	8	7.072
2007	9	7.09
2007	10	7.059
2007	11	7.031
2007	12	7.08
2008	1	7.161
2008	2	7.144
2008	3	7.187
2008	4	7.088
2008	5	7.031
2008	6	7.105
2008	7	7.1
2008	8	7.111
2008	9	7.034
2008	10	7.162
2008	11	7.041
2008	12	6.96
2009	1	7.111
2009	2	7.009
2009	3	7.091
2009	4	7.066
2009	5	7.14
2009	6	7.046
2009	7	7.046
2009	8	7.132
2009	9	7.046
2009	10	7.046
2009	11	7.046
2009	12	7.031
2010	1	6.946
2010	2	7.023
2010	3	7.051
2010	4	7.02
2010	5	7.019
2010	6	7.024
2010	7	7.082
2010	8	7.065
2010	9	7.054
2010	10	7.088
2010	11	7.042
2010	12	6.948
2011	1	6.942
2011	2	7.067
2011	3	6.984

